PER,Región/Estado,Ciudad,Distrito,Zip/Postal Code From,Zip/Postal Code To,Weight From,Weight To,Precio de envío,Delivery Type
PER,APURIMAC                                                                        ,GRAU                                                                            ,TURPAY                                                                          ,*,*,17.62,19.8,26,Olva Courier
PER,APURIMAC                                                                        ,GRAU                                                                            ,VILCABAMBA                                                                      ,*,*,17.62,19.8,38.5,Serpost
PER,APURIMAC                                                                        ,GRAU                                                                            ,VIRUNDO                                                                         ,*,*,19.82,22,28,Olva Courier
PER,APURIMAC                                                                        ,GRAU                                                                            ,CURASCO                                                                         ,*,*,19.82,22,42.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,AREQUIPA                                                                        ,*,*,0,2.2,5.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,ALTO SELVA ALEGRE                                                               ,*,*,0,99,0,Recoger en tienda
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,CAYMA                                                                           ,*,*,0,2.2,6,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,CERRO COLORADO                                                                  ,*,*,2.22,4.4,7.5,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,CHARACATO                                                                       ,*,*,2.22,4.4,7.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,CHIGUATA                                                                        ,*,*,4.42,6.6,9,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,JACOBO HUNTER                                                                   ,*,*,4.42,6.6,9.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,LA JOYA                                                                         ,*,*,6.62,8.8,10.5,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,MARIANO MELGAR                                                                  ,*,*,6.62,8.8,11.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,MIRAFLORES                                                                      ,*,*,8.82,11,12,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,MOLLEBAYA                                                                       ,*,*,8.82,11,13.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,PAUCARPATA                                                                      ,*,*,11.02,13.2,13.5,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,POCSI                                                                           ,*,*,11.02,13.2,15.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,POLOBAYA                                                                        ,*,*,13.22,15.4,15,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,QUEQUEÑA                                                                        ,*,*,13.22,15.4,17.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,SABANDIA                                                                        ,*,*,15.42,17.6,19.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,SACHACA                                                                         ,*,*,15.42,17.6,16.5,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,SAN JUAN DE SIGUAS /1                                                           ,*,*,17.62,19.8,21.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,SAN JUAN DE TARUCANI                                                            ,*,*,17.62,19.8,18,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,SANTA ISABEL DE SIGUAS                                                          ,*,*,19.82,22,23.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,SANTA RITA DE SIGUAS                                                            ,*,*,19.82,22,19.5,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,SOCABAYA                                                                        ,*,*,0,2.2,5.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,TIABAYA                                                                         ,*,*,0,99,0,Recoger en tienda
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,UCHUMAYO                                                                        ,*,*,0,2.2,6,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,VITOR                                                                           ,*,*,2.22,4.4,7.5,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,YANAHUARA                                                                       ,*,*,2.22,4.4,7.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,YARABAMBA                                                                       ,*,*,4.42,6.6,9,Olva Courier
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,YURA                                                                            ,*,*,4.42,6.6,9.5,Serpost
PER,AREQUIPA                                                                        ,AREQUIPA                                                                        ,JOSE LUIS BUSTAMANTE Y RIVERO                                                   ,*,*,6.62,8.8,10.5,Olva Courier
PER,AREQUIPA                                                                        ,CAMANA                                                                          ,CAMANA                                                                          ,*,*,6.62,8.8,11.5,Serpost
PER,AREQUIPA                                                                        ,CAMANA                                                                          ,JOSE MARIA QUIMPER                                                              ,*,*,8.82,11,12,Olva Courier
PER,AREQUIPA                                                                        ,CAMANA                                                                          ,MARIANO NICOLAS VALCARCEL                                                       ,*,*,8.82,11,13.5,Serpost
PER,AREQUIPA                                                                        ,CAMANA                                                                          ,MARISCAL CACERES                                                                ,*,*,11.02,13.2,13.5,Olva Courier
PER,AREQUIPA                                                                        ,CAMANA                                                                          ,NICOLAS DE PIEROLA                                                              ,*,*,11.02,13.2,15.5,Serpost
PER,AREQUIPA                                                                        ,CAMANA                                                                          ,OCOÑA                                                                           ,*,*,13.22,15.4,15,Olva Courier
PER,AREQUIPA                                                                        ,CAMANA                                                                          ,QUILCA                                                                          ,*,*,13.22,15.4,17.5,Serpost
PER,AREQUIPA                                                                        ,CAMANA                                                                          ,SAMUEL PASTOR                                                                   ,*,*,15.42,17.6,19.5,Serpost
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,CARAVELI                                                                        ,*,*,15.42,17.6,16.5,Olva Courier
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,ACARI                                                                           ,*,*,17.62,19.8,21.5,Serpost
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,ATICO                                                                           ,*,*,17.62,19.8,18,Olva Courier
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,ATIQUIPA                                                                        ,*,*,19.82,22,23.5,Serpost
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,BELLA UNION                                                                     ,*,*,19.82,22,19.5,Olva Courier
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,CAHUACHO                                                                        ,*,*,19.82,22,19.5,Olva Courier
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,CHALA                                                                           ,*,*,2.22,4.4,10.5,Serpost
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,CHAPARRA                                                                        ,*,*,2.22,4.4,10.5,Serpost
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,HUANUHUANU                                                                      ,*,*,2.22,4.4,12,Olva Courier
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,JAQUI                                                                           ,*,*,4.42,6.6,14.5,Serpost
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,LOMAS                                                                           ,*,*,4.42,6.6,14,Olva Courier
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,QUICACHA                                                                        ,*,*,6.62,8.8,18.5,Serpost
PER,AREQUIPA                                                                        ,CARAVELI                                                                        ,YAUCA                                                                           ,*,*,6.62,8.8,16,Olva Courier
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,APLAO                                                                           ,*,*,8.82,11,22.5,Serpost
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,ANDAGUA                                                                         ,*,*,8.82,11,18,Olva Courier
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,AYO                                                                             ,*,*,11.02,13.2,26.5,Serpost
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,CHACHAS                                                                         ,*,*,11.02,13.2,20,Olva Courier
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,CHILCAYMARCA                                                                    ,*,*,13.22,15.4,30.5,Serpost
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,CHOCO                                                                           ,*,*,13.22,15.4,22,Olva Courier
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,HUANCARQUI                                                                      ,*,*,15.42,17.6,24,Olva Courier
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,MACHAGUAY                                                                       ,*,*,15.42,17.6,34.5,Serpost
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,ORCOPAMPA                                                                       ,*,*,17.62,19.8,26,Olva Courier
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,PAMPACOLCA                                                                      ,*,*,17.62,19.8,38.5,Serpost
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,TIPAN                                                                           ,*,*,19.82,22,28,Olva Courier
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,UÑON                                                                            ,*,*,19.82,22,42.5,Serpost
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,URACA                                                                           ,*,*,0,2.2,5.5,Serpost
PER,AREQUIPA                                                                        ,CASTILLA                                                                        ,VIRACO                                                                          ,*,*,0,99,0,Recoger en tienda
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,CHIVAY                                                                          ,*,*,0,2.2,6,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,ACHOMA                                                                          ,*,*,2.22,4.4,7.5,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,CABANACONDE                                                                     ,*,*,2.22,4.4,7.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,CALLALLI                                                                        ,*,*,4.42,6.6,9,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,CAYLLOMA                                                                        ,*,*,4.42,6.6,9.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,COPORAQUE                                                                       ,*,*,6.62,8.8,10.5,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,HUAMBO                                                                          ,*,*,6.62,8.8,11.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,HUANCA                                                                          ,*,*,8.82,11,12,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,ICHUPAMPA                                                                       ,*,*,8.82,11,13.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,LARI                                                                            ,*,*,11.02,13.2,13.5,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,LLUTA                                                                           ,*,*,11.02,13.2,15.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,MACA                                                                            ,*,*,13.22,15.4,15,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,MADRIGAL                                                                        ,*,*,13.22,15.4,17.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,SAN ANTONIO DE CHUCA  2/                                                        ,*,*,15.42,17.6,19.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,SIBAYO                                                                          ,*,*,15.42,17.6,16.5,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,TAPAY                                                                           ,*,*,17.62,19.8,21.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,TISCO                                                                           ,*,*,17.62,19.8,18,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,TUTI                                                                            ,*,*,19.82,22,23.5,Serpost
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,YANQUE                                                                          ,*,*,19.82,22,19.5,Olva Courier
PER,AREQUIPA                                                                        ,CAYLLOMA                                                                        ,MAJES                                                                           ,*,*,0,2.2,5.5,Serpost
PER,AREQUIPA                                                                        ,CONDESUYOS                                                                      ,CHUQUIBAMBA                                                                     ,*,*,0,99,0,Recoger en tienda
PER,AREQUIPA                                                                        ,CONDESUYOS                                                                      ,ANDARAY                                                                         ,*,*,0,2.2,6,Olva Courier
PER,AREQUIPA                                                                        ,CONDESUYOS                                                                      ,CAYARANI                                                                        ,*,*,2.22,4.4,7.5,Olva Courier
PER,AREQUIPA                                                                        ,CONDESUYOS                                                                      ,CHICHAS                                                                         ,*,*,2.22,4.4,7.5,Serpost
PER,AREQUIPA                                                                        ,CONDESUYOS                                                                      ,IRAY                                                                            ,*,*,4.42,6.6,9,Olva Courier
PER,AREQUIPA                                                                        ,CONDESUYOS                                                                      ,RIO GRANDE                                                                      ,*,*,4.42,6.6,9.5,Serpost
PER,AREQUIPA                                                                        ,CONDESUYOS                                                                      ,SALAMANCA                                                                       ,*,*,6.62,8.8,10.5,Olva Courier
PER,AREQUIPA                                                                        ,CONDESUYOS                                                                      ,YANAQUIHUA                                                                      ,*,*,6.62,8.8,11.5,Serpost
PER,AREQUIPA                                                                        ,ISLAY                                                                           ,MOLLENDO                                                                        ,*,*,8.82,11,12,Olva Courier
PER,AREQUIPA                                                                        ,ISLAY                                                                           ,COCACHACRA                                                                      ,*,*,8.82,11,13.5,Serpost
PER,AREQUIPA                                                                        ,ISLAY                                                                           ,DEAN VALDIVIA                                                                   ,*,*,11.02,13.2,13.5,Olva Courier
PER,AREQUIPA                                                                        ,ISLAY                                                                           ,ISLAY                                                                           ,*,*,11.02,13.2,15.5,Serpost
PER,AREQUIPA                                                                        ,ISLAY                                                                           ,MEJIA                                                                           ,*,*,13.22,15.4,15,Olva Courier
PER,AREQUIPA                                                                        ,ISLAY                                                                           ,PUNTA DE BOMBON                                                                 ,*,*,13.22,15.4,17.5,Serpost
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,COTAHUASI                                                                       ,*,*,15.42,17.6,19.5,Serpost
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,ALCA                                                                            ,*,*,15.42,17.6,16.5,Olva Courier
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,CHARCANA                                                                        ,*,*,17.62,19.8,21.5,Serpost
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,HUAYNACOTAS                                                                     ,*,*,17.62,19.8,18,Olva Courier
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,PAMPAMARCA                                                                      ,*,*,19.82,22,23.5,Serpost
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,PUYCA                                                                           ,*,*,19.82,22,19.5,Olva Courier
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,QUECHUALLA                                                                      ,*,*,19.82,22,19.5,Olva Courier
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,SAYLA                                                                           ,*,*,2.22,4.4,10.5,Serpost
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,TAURIA                                                                          ,*,*,2.22,4.4,10.5,Serpost
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,TOMEPAMPA                                                                       ,*,*,2.22,4.4,12,Olva Courier
PER,AREQUIPA                                                                        ,LA UNION                                                                        ,TORO                                                                            ,*,*,4.42,6.6,14.5,Serpost
PER,AYACUCHO                                                                        ,CANGALLO                                                                        ,CANGALLO                                                                        ,*,*,4.42,6.6,14,Olva Courier
PER,AYACUCHO                                                                        ,CANGALLO                                                                        ,CHUSCHI                                                                         ,*,*,6.62,8.8,18.5,Serpost
PER,AYACUCHO                                                                        ,CANGALLO                                                                        ,LOS MOROCHUCOS                                                                  ,*,*,6.62,8.8,16,Olva Courier
PER,AYACUCHO                                                                        ,CANGALLO                                                                        ,MARIA PARADO DE BELLIDO                                                         ,*,*,8.82,11,22.5,Serpost
PER,AYACUCHO                                                                        ,CANGALLO                                                                        ,PARAS                                                                           ,*,*,8.82,11,18,Olva Courier
PER,AYACUCHO                                                                        ,CANGALLO                                                                        ,TOTOS                                                                           ,*,*,11.02,13.2,26.5,Serpost
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,AYACUCHO                                                                        ,*,*,11.02,13.2,20,Olva Courier
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,ACOCRO                                                                          ,*,*,13.22,15.4,30.5,Serpost
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,ACOS VINCHOS                                                                    ,*,*,13.22,15.4,22,Olva Courier
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,CARMEN ALTO                                                                     ,*,*,15.42,17.6,24,Olva Courier
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,CHIARA                                                                          ,*,*,15.42,17.6,34.5,Serpost
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,OCROS                                                                           ,*,*,17.62,19.8,26,Olva Courier
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,PACAYCASA                                                                       ,*,*,17.62,19.8,38.5,Serpost
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,QUINUA                                                                          ,*,*,19.82,22,28,Olva Courier
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,SAN JOSE DE TICLLAS                                                             ,*,*,19.82,22,42.5,Serpost
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,SAN JUAN BAUTISTA                                                               ,*,*,0,2.2,5.5,Serpost
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,SANTIAGO DE PISCHA                                                              ,*,*,0,99,0,Recoger en tienda
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,SOCOS                                                                           ,*,*,0,2.2,6,Olva Courier
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,TAMBILLO                                                                        ,*,*,2.22,4.4,7.5,Olva Courier
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,VINCHOS                                                                         ,*,*,2.22,4.4,7.5,Serpost
PER,AYACUCHO                                                                        ,HUAMANGA                                                                        ,JESUS NAZARENO                                                                  ,*,*,4.42,6.6,9,Olva Courier
PER,AYACUCHO                                                                        ,HUANCA SANCOS                                                                   ,SANCOS                                                                          ,*,*,4.42,6.6,9.5,Serpost
PER,AYACUCHO                                                                        ,HUANCA SANCOS                                                                   ,CARAPO                                                                          ,*,*,6.62,8.8,10.5,Olva Courier
PER,AYACUCHO                                                                        ,HUANCA SANCOS                                                                   ,SACSAMARCA                                                                      ,*,*,6.62,8.8,11.5,Serpost
PER,AYACUCHO                                                                        ,HUANCA SANCOS                                                                   ,SANTIAGO DE LUCANAMARCA                                                         ,*,*,8.82,11,12,Olva Courier
PER,AYACUCHO                                                                        ,HUANTA                                                                          ,HUANTA                                                                          ,*,*,8.82,11,13.5,Serpost
PER,AYACUCHO                                                                        ,HUANTA                                                                          ,AYAHUANCO                                                                       ,*,*,11.02,13.2,13.5,Olva Courier
PER,AYACUCHO                                                                        ,HUANTA                                                                          ,HUAMANGUILLA                                                                    ,*,*,11.02,13.2,15.5,Serpost
PER,AYACUCHO                                                                        ,HUANTA                                                                          ,IGUAIN                                                                          ,*,*,13.22,15.4,15,Olva Courier
PER,AYACUCHO                                                                        ,HUANTA                                                                          ,LURICOCHA                                                                       ,*,*,13.22,15.4,17.5,Serpost
PER,AYACUCHO                                                                        ,HUANTA                                                                          ,SANTILLANA                                                                      ,*,*,15.42,17.6,19.5,Serpost
PER,AYACUCHO                                                                        ,HUANTA                                                                          ,SIVIA                                                                           ,*,*,15.42,17.6,16.5,Olva Courier
PER,AYACUCHO                                                                        ,HUANTA                                                                          ,LLOCHEGUA                                                                       ,*,*,17.62,19.8,21.5,Serpost
PER,AYACUCHO                                                                        ,LA MAR                                                                          ,SAN MIGUEL                                                                      ,*,*,17.62,19.8,18,Olva Courier
PER,AYACUCHO                                                                        ,LA MAR                                                                          ,ANCO                                                                            ,*,*,19.82,22,23.5,Serpost
PER,AYACUCHO                                                                        ,LA MAR                                                                          ,AYNA                                                                            ,*,*,19.82,22,19.5,Olva Courier
PER,AYACUCHO                                                                        ,LA MAR                                                                          ,CHILCAS                                                                         ,*,*,0,2.2,5.5,Serpost
PER,AYACUCHO                                                                        ,LA MAR                                                                          ,CHUNGUI                                                                         ,*,*,0,99,0,Recoger en tienda
PER,AYACUCHO                                                                        ,LA MAR                                                                          ,LUIS CARRANZA                                                                   ,*,*,0,2.2,6,Olva Courier
PER,AYACUCHO                                                                        ,LA MAR                                                                          ,SANTA ROSA                                                                      ,*,*,2.22,4.4,7.5,Olva Courier
PER,AYACUCHO                                                                        ,LA MAR                                                                          ,TAMBO                                                                           ,*,*,2.22,4.4,7.5,Serpost
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,PUQUIO                                                                          ,*,*,4.42,6.6,9,Olva Courier
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,AUCARA                                                                          ,*,*,4.42,6.6,9.5,Serpost
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,CABANA                                                                          ,*,*,6.62,8.8,10.5,Olva Courier
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,CARMEN SALCEDO                                                                  ,*,*,6.62,8.8,11.5,Serpost
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,CHAVIÑA                                                                         ,*,*,8.82,11,12,Olva Courier
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,CHIPAO                                                                          ,*,*,8.82,11,13.5,Serpost
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,HUAC-HUAS                                                                       ,*,*,11.02,13.2,13.5,Olva Courier
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,LARAMATE                                                                        ,*,*,11.02,13.2,15.5,Serpost
PER,AYACUCHO                                                                        ,LUCANAS                                                                         ,LEONCIO PRADO                                                                   ,*,*,13.22,15.4,15,Olva Courier
